,,,-42.23999754E-3,98.000000000,,,,,-42.23999754E-3,-4.00000000,
,,,-42.19999909E-3,96.000000000,,,,,-42.19999909E-3,-4.00000000,
,,,-42.16000065E-3,92.000000000,,,,,-42.16000065E-3,-4.00000000,
,,,-42.11999848E-3,88.000000000,,,,,-42.11999848E-3,-4.00000000,
,,,-42.08000004E-3,84.000000000,,,,,-42.08000004E-3,-2.0000000,
,,,-42.03999788E-3,82.000000000,,,,,-42.03999788E-3,-4.00000000,
,,,-41.99999943E-3,82.000000000,,,,,-41.99999943E-3,-2.0000000,
,,,-41.95999727E-3,78.000000000,,,,,-41.95999727E-3,-4.00000000,
,,,-41.91999882E-3,74.000000000,,,,,-41.91999882E-3,-4.00000000,
,,,-41.88000038E-3,70.000000000,,,,,-41.88000038E-3,-2.0000000,
,,,-41.83999822E-3,68.000000000,,,,,-41.83999822E-3,-4.00000000,
,,,-41.79999977E-3,64.000000000,,,,,-41.79999977E-3,-2.0000000,
,,,-41.75999761E-3,62.000000000,,,,,-41.75999761E-3,-4.00000000,
,,,-41.71999916E-3,60.000000000,,,,,-41.71999916E-3,-4.00000000,
,,,-41.68000072E-3,58.000000000,,,,,-41.68000072E-3,-4.00000000,
,,,-41.63999856E-3,54.00000000,,,,,-41.63999856E-3,-4.00000000,
,,,-41.60000011E-3,50.00000000,,,,,-41.60000011E-3,-2.0000000,
,,,-41.55999795E-3,48.00000000,,,,,-41.55999795E-3,-4.00000000,
,,,-41.51999950E-3,46.00000000,,,,,-41.51999950E-3,-4.00000000,
,,,-41.47999734E-3,44.00000000,,,,,-41.47999734E-3,-4.00000000,
,,,-41.43999889E-3,42.00000000,,,,,-41.43999889E-3,-4.00000000,
,,,-41.40000045E-3,38.00000000,,,,,-41.40000045E-3,-4.00000000,
,,,-41.35999829E-3,32.00000000,,,,,-41.35999829E-3,-2.0000000,
,,,-41.31999984E-3,28.00000000,,,,,-41.31999984E-3,-4.00000000,
,,,-41.27999768E-3,26.00000000,,,,,-41.27999768E-3,-2.0000000,
,,,-41.23999923E-3,22.00000000,,,,,-41.23999923E-3,-4.00000000,
,,,-41.20000079E-3,18.0000000,,,,,-41.20000079E-3,-4.00000000,
,,,-41.15999863E-3,16.0000000,,,,,-41.15999863E-3,-4.00000000,
,,,-41.12000018E-3,14.0000000,,,,,-41.12000018E-3,-2.0000000,
,,,-41.07999802E-3,12.0000000,,,,,-41.07999802E-3,-4.00000000,
,,,-41.03999957E-3,10.0000000,,,,,-41.03999957E-3,-4.00000000,
,,,-40.99999741E-3,8.000000000,,,,,-40.99999741E-3,-4.00000000,
,,,-40.95999897E-3,6.00000000,,,,,-40.95999897E-3,-4.00000000,
,,,-40.92000052E-3,4.00000000,,,,,-40.92000052E-3,-2.0000000,
,,,-40.87999836E-3,2.0000000,,,,,-40.87999836E-3,-4.00000000,
,,,-40.83999991E-3,0.0,,,,,-40.83999991E-3,0.0,
,,,-40.79999775E-3,0.0,,,,,-40.79999775E-3,2.0000000,
,,,-40.75999931E-3,0.0,,,,,-40.75999931E-3,6.00000000,
,,,-40.71999714E-3,0.0,,,,,-40.71999714E-3,6.00000000,
,,,-40.67999870E-3,0.0,,,,,-40.67999870E-3,10.0000000,
,,,-40.64000025E-3,0.0,,,,,-40.64000025E-3,12.0000000,
,,,-40.59999809E-3,0.0,,,,,-40.59999809E-3,14.0000000,
,,,-40.55999964E-3,0.0,,,,,-40.55999964E-3,18.0000000,
